R,G,B,L,a,b,Thickness [nm]
1.52632,2.36842,3.36364,3.4375,1.08594,1.10853,91.5
1.35,1.94737,3.09524,3.06667,1.07752,1.10236,25.5
1.4,2.73684,3.66667,4.06667,1.05426,1.15748,47.1
1.26316,1.6,2.5,2.375,1.07812,1.07031,31.5
1.45,2,2.90476,3,1.06202,1.08661,31
1.42105,2.64706,3.45,3.85714,1.05426,1.13386,87.5
